item,family,mode,context,refusalCode,referenceKind,expectedGpuRoute,pmValue,risk,ownerTask
4,DrawRRect,MODULATE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,MULTIPLY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,SCREEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,OVERLAY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,DARKEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,LIGHTEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,COLOR_DODGE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,COLOR_BURN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,HARD_LIGHT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,SOFT_LIGHT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,DIFFERENCE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,EXCLUSION,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,HUE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,SATURATION,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,COLOR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRRect,LUMINOSITY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,CLEAR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,SRC,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,SRC_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,DST_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,SRC_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,DST_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,SRC_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,DST_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,SRC_ATOP,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,DST_ATOP,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,XOR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,PLUS,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,MODULATE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,MULTIPLY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,SCREEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,OVERLAY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,DARKEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,LIGHTEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,COLOR_DODGE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,COLOR_BURN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,HARD_LIGHT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,SOFT_LIGHT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,DIFFERENCE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,EXCLUSION,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,HUE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,SATURATION,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,COLOR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawRect,LUMINOSITY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,CLEAR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,SRC,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,SRC_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,DST_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,SRC_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,DST_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,SRC_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,DST_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,SRC_ATOP,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,DST_ATOP,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,XOR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,PLUS,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,MODULATE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,MULTIPLY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,SCREEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,OVERLAY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,DARKEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,LIGHTEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,COLOR_DODGE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,COLOR_BURN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,HARD_LIGHT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,SOFT_LIGHT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,DIFFERENCE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,EXCLUSION,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,HUE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,SATURATION,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,COLOR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawColor,LUMINOSITY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,CLEAR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,SRC,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,DST,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,SRC_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,DST_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,SRC_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,DST_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,SRC_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,DST_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,SRC_ATOP,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,DST_ATOP,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,XOR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,PLUS,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,MODULATE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,MULTIPLY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,SCREEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,OVERLAY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,DARKEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,LIGHTEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,COLOR_DODGE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,COLOR_BURN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,HARD_LIGHT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,SOFT_LIGHT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,DIFFERENCE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,EXCLUSION,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,HUE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,SATURATION,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,COLOR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPath,LUMINOSITY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,CLEAR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,SRC,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,DST,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,SRC_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,DST_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,SRC_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,DST_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,SRC_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,DST_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,SRC_ATOP,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,DST_ATOP,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,XOR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,PLUS,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,MODULATE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,MULTIPLY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,SCREEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,OVERLAY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,DARKEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,LIGHTEN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,COLOR_DODGE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,COLOR_BURN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,HARD_LIGHT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,SOFT_LIGHT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,DIFFERENCE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,EXCLUSION,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,HUE,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,SATURATION,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,COLOR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawDRRect,LUMINOSITY,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,PLUS,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,MULTIPLY,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,OVERLAY,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,DARKEN,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,LIGHTEN,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,COLOR_DODGE,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,COLOR_BURN,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,HARD_LIGHT,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,SOFT_LIGHT,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,DIFFERENCE,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,EXCLUSION,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,HUE,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,SATURATION,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,COLOR,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,LUMINOSITY,UNCLIPPED,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,PLUS,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,MULTIPLY,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,OVERLAY,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,DARKEN,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,LIGHTEN,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,COLOR_DODGE,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,COLOR_BURN,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,HARD_LIGHT,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,SOFT_LIGHT,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,DIFFERENCE,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,EXCLUSION,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,HUE,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,SATURATION,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,COLOR,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,LUMINOSITY,SCISSOR,invalid.preflight.core_primitive_direct_geometry_resources,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,CLEAR,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,SRC,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,SRC_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,DST_OVER,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,SRC_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,DST_IN,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
4,DrawPoint,SRC_OUT,ALPHA_MASK,unsupported.recording.core_primitive_mixed_uniform_layouts,cpu-oracle,split-uniform64-160,high,medium,6
